Ml_num,Ml_num,predict,actual,diff,diff_perc
W8024538,W8024538,1071862.4,1075000,-3137.625,0.0029
N7405386,N7405386,990401.7,1000000,-9598.3125,0.0096
E8009336,E8009336,764033.06,740000,24033.0625,0.0325
E8020138,E8020138,1099700.4,1115000,-15299.625,0.0137
E8021558,E8021558,1050588.6,1500000,-449411.375,0.2996
N6806982,N6806982,1512891.6,1510000,2891.625,0.0019
N7284428,N7284428,3680821.0,3300000,380821.0,0.1154
N7398584,N7398584,1473300.0,1425000,48300.0,0.0339
N8007310,N8007310,1137544.0,1071500,66044.0,0.0616
C6742976,C6742976,3238593.5,2910000,328593.5,0.1129
N8013908,N8013908,1074710.2,1175000,-100289.75,0.0854
N8017550,N8017550,1089677.2,1070000,19677.25,0.0184
N8021192,N8021192,2050719.6,1980000,70719.625,0.0357
S7369032,S7369032,544572.7,574000,-29427.3125,0.0513
S7380188,S7380188,585008.44,575000,10008.4375,0.0174
S7406234,S7406234,669684.56,625000,44684.5625,0.0715
E7316712,E7316712,989888.44,955000,34888.4375,0.0365
E7314720,E7314720,865781.94,870000,-4218.0625,0.0048
C7353756,C7353756,1861092.6,1828000,33092.625,0.0181
W8027470,W8027470,794946.6,830000,-35053.375,0.0422
C7340612,C7340612,6870772.5,6750000,120772.5,0.0179
W7372602,W7372602,881537.5,898000,-16462.5,0.0183
E7383362,E7383362,1180564.5,1165101,15463.5,0.0133
S7380318,S7380318,773984.06,735000,38984.0625,0.053
W7394368,W7394368,1480849.6,1450000,30849.625,0.0213
W7385830,W7385830,2404681.8,2250000,154681.75,0.0687
E7395442,E7395442,1356474.2,1290000,66474.25,0.0515
C7269368,C7269368,1348126.8,1300000,48126.75,0.037
W8013704,W8013704,1270574.8,1250000,20574.75,0.0165
N7404412,N7404412,1560997.9,1526000,34997.875,0.0229
W7405176,W7405176,1521609.5,1560000,-38390.5,0.0246
E8026240,E8026240,1183774.5,1100000,83774.5,0.0762
N8019824,N8019824,895155.94,1180000,-284844.0625,0.2414
S8024144,S8024144,726854.7,730000,-3145.3125,0.0043
W7010302,W7010302,2946640.8,2920000,26640.75,0.0091
